SizeKB,Type,BandwidthGBps,Direction
64,float4_sync,17.8257,Global->Shared
128,float4_sync,37.7693,Global->Shared
256,float4_sync,72.6609,Global->Shared
512,float4_sync,146.719,Global->Shared
1024,float4_sync,293.438,Global->Shared
2048,float4_sync,744.331,Global->Shared
4096,float4_sync,1326.85,Global->Shared
8192,float4_sync,1585.33,Global->Shared
16384,float4_sync,3032.8,Global->Shared
32768,float4_sync,3699.1,Global->Shared
65536,float4_sync,4810.65,Global->Shared
64,float_sync,6.50972,Global->Shared
128,float_sync,47.095,Global->Shared
256,float_sync,75.5386,Global->Shared
512,float_sync,148.144,Global->Shared
1024,float_sync,317.891,Global->Shared
2048,float_sync,521.668,Global->Shared
4096,float_sync,393.775,Global->Shared
8192,float_sync,894.288,Global->Shared
16384,float_sync,1278.22,Global->Shared
32768,float_sync,1686.64,Global->Shared
65536,float_sync,1837.37,Global->Shared
64,float4_sync,18.8846,Shared->Global
128,float4_sync,64.6559,Shared->Global
256,float4_sync,155.702,Shared->Global
512,float4_sync,214.913,Shared->Global
1024,float4_sync,277.433,Shared->Global
2048,float4_sync,649.31,Shared->Global
4096,float4_sync,282.57,Shared->Global
8192,float4_sync,1535.48,Shared->Global
16384,float4_sync,2358.85,Shared->Global
32768,float4_sync,2735.47,Shared->Global
65536,float4_sync,2802.19,Shared->Global
64,float_sync,7.66003,Shared->Global
128,float_sync,47.6837,Shared->Global
256,float_sync,79.4729,Shared->Global
512,float_sync,162.328,Shared->Global
1024,float_sync,359.03,Shared->Global
2048,float_sync,598.384,Shared->Global
4096,float_sync,787.55,Shared->Global
8192,float_sync,988.424,Shared->Global
16384,float_sync,1411.22,Shared->Global
32768,float_sync,1759.57,Shared->Global
65536,float_sync,1869.02,Shared->Global
