SizeKB,Type,BandwidthGBps
64,float_sync,6.50972
128,float_sync,47.095
256,float_sync,75.5386
512,float_sync,148.144
1024,float_sync,317.891
2048,float_sync,521.668
4096,float_sync,393.775
8192,float_sync,894.288
16384,float_sync,1278.22
32768,float_sync,1686.64
65536,float_sync,1837.37
64,float4_sync,17.8257
128,float4_sync,37.7693
256,float4_sync,72.6609
512,float4_sync,146.719
1024,float4_sync,293.438
2048,float4_sync,744.331
4096,float4_sync,1326.85
8192,float4_sync,1585.33
16384,float4_sync,3032.8
32768,float4_sync,3699.1
65536,float4_sync,4810.65
