SizeKB,Type,BandwidthGBps
64,float_sync,6.83638
128,float_sync,57.7984
256,float_sync,73.3596
512,float_sync,183.841
1024,float_sync,267.698
2048,float_sync,544.957
4096,float_sync,819.264
8192,float_sync,1214.63
16384,float_sync,1261.71
32768,float_sync,1788.58
64,float4_sync,26.8641
128,float4_sync,43.3488
256,float4_sync,152.588
512,float4_sync,198.166
1024,float4_sync,311.404
2048,float4_sync,598.384
4096,float4_sync,1140.84
8192,float4_sync,1419.42
16384,float4_sync,1914.83
32768,float4_sync,2682.86
