SizeKB,Type,BandwidthGBps,Direction
64,float4_sync,14.6719,Global->Shared
128,float4_sync,26.6762,Global->Shared
256,float4_sync,59.1426,Global->Shared
512,float4_sync,113.872,Global->Shared
1024,float4_sync,176.402,Global->Shared
2048,float4_sync,342.894,Global->Shared
4096,float4_sync,626.002,Global->Shared
8192,float4_sync,381.47,Global->Shared
16384,float4_sync,415.559,Global->Shared
32768,float4_sync,443.892,Global->Shared
65536,float4_sync,455.912,Global->Shared
64,float_sync,10.7154,Global->Shared
128,float_sync,22.9801,Global->Shared
256,float_sync,56.9358,Global->Shared
512,float_sync,92.4775,Global->Shared
1024,float_sync,170.489,Global->Shared
2048,float_sync,268.877,Global->Shared
4096,float_sync,373.304,Global->Shared
8192,float_sync,344.345,Global->Shared
16384,float_sync,354.598,Global->Shared
32768,float_sync,372.166,Global->Shared
65536,float_sync,381.172,Global->Shared
64,float4_sync,14.1285,Shared->Global
128,float4_sync,23.8419,Shared->Global
256,float4_sync,56.9358,Shared->Global
512,float4_sync,121.102,Shared->Global
1024,float4_sync,234.751,Shared->Global
2048,float4_sync,391.251,Shared->Global
4096,float4_sync,515.065,Shared->Global
8192,float4_sync,441.484,Shared->Global
16384,float4_sync,462.826,Shared->Global
32768,float4_sync,492.219,Shared->Global
65536,float4_sync,513.305,Shared->Global
64,float_sync,12.4663,Shared->Global
128,float_sync,22.7065,Shared->Global
256,float_sync,54.8877,Shared->Global
512,float_sync,113.872,Shared->Global
1024,float_sync,213.41,Shared->Global
2048,float_sync,314.614,Shared->Global
4096,float_sync,395.05,Shared->Global
8192,float_sync,476.837,Shared->Global
16384,float_sync,476.837,Shared->Global
32768,float_sync,502.606,Shared->Global
65536,float_sync,517.933,Shared->Global
