SizeKB,Type,BandwidthGBps
64,float_sync,10.7154
128,float_sync,22.9801
256,float_sync,56.9358
512,float_sync,92.4775
1024,float_sync,170.489
2048,float_sync,268.877
4096,float_sync,373.304
8192,float_sync,344.345
16384,float_sync,354.598
32768,float_sync,372.166
65536,float_sync,381.172
64,float4_sync,14.6719
128,float4_sync,26.6762
256,float4_sync,59.1426
512,float4_sync,113.872
1024,float4_sync,176.402
2048,float4_sync,342.894
4096,float4_sync,626.002
8192,float4_sync,381.47
16384,float4_sync,415.559
32768,float4_sync,443.892
65536,float4_sync,455.912
