SizeKB,Type,BandwidthGBps
64,float_sync,10.31
128,float_sync,28.0492
256,float_sync,56.514
512,float_sync,109.775
1024,float_sync,172.416
2048,float_sync,317.891
4096,float_sync,391.251
8192,float_sync,442.284
16384,float_sync,476.837
32768,float_sync,500.032
64,float4_sync,13.432
128,float4_sync,29.8023
256,float4_sync,53.3524
512,float4_sync,119.209
1024,float4_sync,227.743
2048,float4_sync,326.391
4096,float4_sync,598.384
8192,float4_sync,450.444
16384,float4_sync,465.917
32768,float4_sync,478.238
