SizeKB,Type,BandwidthGBps,Direction
64,float4_sync,9.93411,Global->Shared
128,float4_sync,23.8419,Global->Shared
256,float4_sync,39.7364,Global->Shared
512,float4_sync,95.3674,Global->Shared
1024,float4_sync,158.946,Global->Shared
2048,float4_sync,317.891,Global->Shared
4096,float4_sync,635.783,Global->Shared
8192,float4_sync,1089.91,Global->Shared
16384,float4_sync,1695.42,Global->Shared
32768,float4_sync,1220.7,Global->Shared
65536,float4_sync,1525.88,Global->Shared
64,float_sync,8.51495,Global->Shared
128,float_sync,17.0299,Global->Shared
256,float_sync,47.6837,Global->Shared
512,float_sync,95.3674,Global->Shared
1024,float_sync,136.239,Global->Shared
2048,float_sync,272.478,Global->Shared
4096,float_sync,476.837,Global->Shared
8192,float_sync,586.877,Global->Shared
16384,float_sync,847.71,Global->Shared
32768,float_sync,782.502,Global->Shared
65536,float_sync,910.972,Global->Shared
64,float4_sync,9.93411,Shared->Global
128,float4_sync,19.8682,Shared->Global
256,float4_sync,47.6837,Shared->Global
512,float4_sync,79.4729,Shared->Global
1024,float4_sync,158.946,Shared->Global
2048,float4_sync,317.891,Shared->Global
4096,float4_sync,544.957,Shared->Global
8192,float4_sync,953.674,Shared->Global
16384,float4_sync,1271.57,Shared->Global
32768,float4_sync,1326.85,Shared->Global
65536,float4_sync,1565.0,Shared->Global
64,float_sync,9.93411,Shared->Global
128,float_sync,23.8419,Shared->Global
256,float_sync,47.6837,Shared->Global
512,float_sync,95.3674,Shared->Global
1024,float_sync,158.946,Shared->Global
2048,float_sync,272.478,Shared->Global
4096,float_sync,476.837,Shared->Global
8192,float_sync,693.581,Shared->Global
16384,float_sync,897.576,Shared->Global
32768,float_sync,1052.33,Shared->Global
65536,float_sync,1151.61,Shared->Global
