SizeKB,Type,BandwidthGBps
64,float_sync,8.51495
128,float_sync,17.0299
256,float_sync,47.6837
512,float_sync,95.3674
1024,float_sync,136.239
2048,float_sync,272.478
4096,float_sync,476.837
8192,float_sync,586.877
16384,float_sync,847.71
32768,float_sync,782.502
65536,float_sync,910.972
64,float4_sync,9.93411
128,float4_sync,23.8419
256,float4_sync,39.7364
512,float4_sync,95.3674
1024,float4_sync,158.946
2048,float4_sync,317.891
4096,float4_sync,635.783
8192,float4_sync,1089.91
16384,float4_sync,1695.42
32768,float4_sync,1220.7
65536,float4_sync,1525.88
