SizeKB,Type,BandwidthGBps
64,float_sync,9.93411
128,float_sync,23.8419
256,float_sync,47.6837
512,float_sync,95.3674
1024,float_sync,158.946
2048,float_sync,272.478
4096,float_sync,476.837
8192,float_sync,693.581
16384,float_sync,897.576
32768,float_sync,1052.33
65536,float_sync,1151.61
64,float4_sync,9.93411
128,float4_sync,19.8682
256,float4_sync,47.6837
512,float4_sync,79.4729
1024,float4_sync,158.946
2048,float4_sync,317.891
4096,float4_sync,544.957
8192,float4_sync,953.674
16384,float4_sync,1271.57
32768,float4_sync,1326.85
65536,float4_sync,1565
