SizeKB,Type,BandwidthGBps,Direction
64,float4_sync,15.3818,Global->Shared
128,float4_sync,41.4641,Global->Shared
256,float4_sync,78.6536,Global->Shared
512,float4_sync,211.928,Global->Shared
1024,float4_sync,314.614,Global->Shared
2048,float4_sync,678.168,Global->Shared
4096,float4_sync,302.154,Global->Shared
8192,float4_sync,2569.9,Global->Shared
16384,float4_sync,2977.32,Global->Shared
32768,float4_sync,4672.55,Global->Shared
65536,float4_sync,4919.71,Global->Shared
64,float_sync,6.17265,Global->Shared
128,float_sync,32.8853,Global->Shared
256,float_sync,56.514,Global->Shared
512,float_sync,173.395,Global->Shared
1024,float_sync,254.313,Global->Shared
2048,float_sync,565.14,Global->Shared
4096,float_sync,689.663,Global->Shared
8192,float_sync,1403.11,Global->Shared
16384,float_sync,1395.09,Global->Shared
32768,float_sync,1731.49,Global->Shared
65536,float_sync,1844.31,Global->Shared
64,float4_sync,26.8641,Shared->Global
128,float4_sync,43.3488,Shared->Global
256,float4_sync,152.588,Shared->Global
512,float4_sync,198.166,Shared->Global
1024,float4_sync,311.404,Shared->Global
2048,float4_sync,598.384,Shared->Global
4096,float4_sync,1140.84,Shared->Global
8192,float4_sync,1419.42,Shared->Global
16384,float4_sync,1914.83,Shared->Global
32768,float4_sync,2682.86,Shared->Global
64,float_sync,6.83638,Shared->Global
128,float_sync,57.7984,Shared->Global
256,float_sync,73.3596,Shared->Global
512,float_sync,183.841,Shared->Global
1024,float_sync,267.698,Shared->Global
2048,float_sync,544.957,Shared->Global
4096,float_sync,819.264,Shared->Global
8192,float_sync,1214.63,Shared->Global
16384,float_sync,1261.71,Shared->Global
32768,float_sync,1788.58,Shared->Global
